eval,test_acc,d_hidden,n_heads,lr,init_scale,readout_frac,weight_decay,epochs
0,0.008537886872998933,64,4,0.0003,3.0,0.25,1e-08,30
2,0.16435432230522945,256,8,0.0003091860905,3.7858882674239,0.8392805406282,1.96065355e-05,51
3,0.23479188900747064,128,8,0.0077959768651,2.9335345730701,0.2427627839845,1.61615e-08,70
4,0.288153681963714,128,2,0.0003097390356,1.566195409529,0.4495715007329,7.203153e-07,37
6,0.3511205976520811,256,2,0.0005510115559,2.9643174858015,0.2908132774218,1.4914514e-06,67
10,0.35859124866595515,256,8,0.00232427244,2.6835546640275,0.2487153465836,1.48347e-08,34
35,0.43649946638207043,256,8,0.004263421297300001,3.7378213622083,0.136793493563,2.3602189999999984e-07,69
62,0.4439701173959445,128,8,0.0061569795933999975,1.6112560979571,0.1470504212926,3.8966400000000015e-08,70
140,0.5058697972251868,256,4,0.0031880760307000013,4.9201861821717,0.1253247864745,2.2059719999999998e-07,70
183,0.5133404482390609,256,8,0.006257394331100001,1.5301413485293,0.1198648670332,7.817549999999994e-08,56
186,0.6392742796157951,256,8,0.0010893373458000003,3.2891047922481,0.3016242785775,1.160068999999999e-06,67
